names,pred_label,chi_reasons
sample_00000648,angry,"in the video, the person is seen sitting on a couch with a furrowed brow, enlarged pupils, and a negative tone their words, don't give me any more feelings, imply frustration or annoyance, possibly due to an overwhelming or unwanted emotional experience therefore, it is inferred that his emotional state is angry"
sample_00000680,sad,"in the video, the individual exhibits a toothy smile, a subtle change in tone, and mumbled speech, indicating a sense of discomfort or reluctance their smile and tone may be an attempt to hide their true emotions, which are likely sad or disappointed therefore, it is inferred that his emotional state is sad"
sample_00000927,angry,"in the video, a woman sits on a couch, displaying a subtle yet distinct expression consisting of raised eyebrows, a small smile, and a tone that suggests sarcasm her raised e-meter expression and sarcastic tone indicate that she is likely feeling annoyed or irritated, which is further supported by her words when are you, little earthworm therefore, it is inferred that his emotional state is angry"
sample_00001823,worried,"in the video, a male medical professional is seen wearing a white lab coat, appearing to be distraught and anxious his facial expression, tone, and intonation convey stress and anxiety, and his words suggest a sense of urgency and uncertainty he is questioning a colleague's decision to quit the emergency department, indicating he is likely feeling worried about the impact this departure will have on the department therefore, it is inferred that his emotional state is worried"
sample_00002348,surprise,"in the video, a woman is seen sitting on a couch, displaying facial expressions and body language that suggest surprise and alertness her raised eyebrows, strong emotional tone, and quickened breathing further reinforce this interpretation therefore, it is inferred that his emotional state is surprise"
sample_00002518,sad,"in the video, a woman is dressed in a white robe, with a sad expression on her face, characterized by a lowered brow and a slight frown her tone and intonation convey a sense of longing, as she says, if he were here, he would definitely support me the person in the video says, ""if he were here, he would definitely support me"" which implies that she is missing someone and yearning for their presence therefore, it is inferred that his emotional state is sad"
sample_00003662,fear,"in the video, a man delivers a speech with a serious expression, despite a slight smile, his tone and intonation convey skepticism and uncertainty his facial expressions and tone suggest he is trying to convey a sense of importance or significance, but his fearful tone implies he is also worried or anxious, likely due to the unknown implications or consequences therefore, it is inferred that his emotional state is fear"
sample_00003855,angry,"in the video, a woman sits on a curb, displaying a mix of emotions through her facial expressions and actions, including frowning, furrowed brows, and pressing her lips together, suggesting frustration or annoyance her tone and intonation convey anger, and her words imply a strong emotional response to a perceived injustice or criticism therefore, it is inferred that his emotional state is angry"
sample_00004125,sad,"in the video, the person's facial expressions and body language convey a sense of distress the lowered eyebrows and downturned mouth suggest sadness, while their body posture and tone convey a sense of despair the person's apology further supports this conclusion therefore, it is inferred that his emotional state is sad"
sample_00004422,happy,"in the video, a woman's facial expression and body language convey a sense of delight, with a broad smile, closed mouth, and head tilted upwards her cheerful tone and intonation further support this, as she says, that this… therefore, it is inferred that his emotional state is happy"
sample_00004722,sad,"in the video, a woman is shown sitting on a bench, displaying facial expressions of sadness distress—lowered brows and lifted eyebrows convey emotional pain, while her tone and intonation convey a sense of anxiety her words, i am currently feeling very anxious, i can talk to you, suggest that she is seeking comfort and support therefore, it is inferred that his emotional state is sad"
sample_00004776,sad,"in the video, a woman sits on a couch, displaying a serious expression with raised upper eyelids, indicating surprise or disbelief her tone and intonation convey a sense of frustration, and her words convey a sense of desperation and possibly even despair therefore, it is inferred that his emotional state is sad"
sample_00005000,worried,"in the video, a woman is seated in a car, displaying a complex emotional state her facial expression is marked by a frown and raised eyebrows, indicating concern or anxiety her tone and intonation convey uncertainty, and she speaks with a hesitant and questioning tone therefore, it is inferred that his emotional state is worried"
sample_00005526,angry,"in the video, a woman sits in a living room, displaying facial expressions—raised upper eyebrows and pursed lips—that suggest anger or frustration her tone is angry, and she speaks with a statement containing words accusing and blaming, indicating an angry emotional state likely driven by feelings of hurt, betrayal, or frustration therefore, it is inferred that his emotional state is angry"
sample_00005608,sad,"in the video, a woman's facial expressions and tone convey distress her lowered eyebrows and lifted lip suggest discomfort, and her statement implying uncomfortability implies that she is feeling a negative emotion, likely sad or disappointed therefore, his emotional state is sad"
sample_00006114,sad,"disturbed emotional state evident by facial expression and tone negative emotional tone, fearful tone, and calmness suggest attempt to suppress emotions and maintain composure, but emotional difficulty breaching therefore, it is inferred that his emotional state is sad"
sample_00006294,happy,"in the video, a woman's facial expressions, including a smile, relaxed lip corner puller, and cheek dimple, convey a sense of joy and positivity her tone and intonation sound natural, suggesting a sense of calm and happiness her response thank you implies a sense of gratitude and understanding, further reinforcing her emotional state therefore, it is inferred that his emotional state is happy"
sample_00006710,happy,"in the video, a woman is seen smiling and laughing, her expression changing to a smile while holding her phone, indicating a positive emotional state her tone and intonation sound natural, and she expresses gratitude and enthusiasm, saying thank you, godmother this suggests she is likely feeling happy, likely due to her positive interactions and anticipation of good news therefore, it is inferred that his emotional state is happy"
sample_00006748,sad,"in the video, a man speaks in a normal tone, saying, okay, okay, my feeling, i'm very happy, i'm very happy, i'm very tall his facial expression, including a natural smile, contradicts his words, suggesting he is trying to hide or suppress his true emotions therefore, it is inferred that his emotional state is sad"
sample_00005854,angry,"in the video, the man's facial expressions furrowed frown, tightened eyelids, raised chin and speech words bastard boss, you don't choose, you prefer suggest a strong emotional state of anger, possibly driven by frustration, disappointment, or betrayal therefore, it is inferred that his emotional state is angry"
sample_00003358,sad,"in the video, the person is sitting on a couch, displaying a serious expression on their face, with lowered eyebrows and a slight frown their body language and facial expressions suggest a sense of distress or discomfort, and their question, it's okay, what about the future? , implies a sense of uncertainty and possibly hopelessness therefore, it is inferred that their emotional state is sad"
